iter	Passed	Remaining
0	170	170373
1	188	94279
2	211	70232
3	231	57652
4	254	50620
5	275	45560
6	300	42596
7	320	39687
8	343	37818
9	367	36375
10	390	35120
11	425	35059
12	445	33843
13	455	32091
14	475	31227
15	498	30660
16	522	30233
17	543	29655
18	570	29440
19	589	28897
20	611	28487
21	635	28240
22	667	28351
23	692	28142
24	718	28009
25	737	27612
26	762	27493
27	792	27525
28	810	27154
29	833	26945
30	857	26807
31	880	26635
32	904	26510
33	924	26263
34	951	26233
35	971	26024
36	995	25912
37	1019	25798
38	1038	25578339	1058	25394440	1079	25249441	1104	25184442	1124	25031443	1147	24934444	1172	24879
45	1193	24755
46	1212	24584
47	1236	24516
48	1256	24383
49	1277	24269
50	1298	24170
51	1320	24069
52	1340	23959
53	1365	23914
54	1388	23865
55	1412	23803
56	1439	23817
57	1460	23719
58	1481	23629
59	1502	23539
60	1520	23406
61	1540	23301
62	1560	23207
63	1577	23076
64	1595	22951
65	1618	22902
66	1640	22843
67	1664	22813
68	1685	22743
69	1712	22749
70	1735	22706
71	1756	22636
72	1786	22680
73	1806	22609
74	1824	22504
75	1844	22426
76	1865	22363
77	1884	22271
78	1901	22166
79	1921	22102
80	1944	22063
81	1965	22009
82	1992	22010
83	2013	21962
84	2029	21849
85	2048	21773
86	2066	21689
87	2082	21580
88	2104	21539
89	2124	21482
90	2147	21448
91	2168	21400
92	2185	21315
93	2206	21264
94	2227	21224
95	2249	21178
96	2271	21149
97	2294	21120
98	2316	21083
99	2333	21004
100	2351	20933
101	2374	20904
102	2393	20846
103	2406	20737
104	2426	20684
105	2446	20637
106	2474	20650
107	2499	20644
108	2516	20570
109	2537	20529
110	2561	20511
111	2588	20520
112	2611	20497
113	2633	20470
114	2652	20410
115	2668	20335
116	2694	20332
117	2718	20322
118	2742	20307
119	2768	20304
120	2792	20289
121	2813	20245
122	2830	20181
123	2853	20157
124	2871	20101
125	2893	20070
126	2912	20017
127	2932	19977
128	2957	19967
129	2980	19945
130	3005	19935
131	3028	19915
132	3053	19905
133	3087	19952
134	3106	19906
135	3123	19845
136	3140	19784
137	3162	19756
138	3183	19721
139	3201	19667
140	3223	19636
141	3246	19616
142	3269	19595
143	3290	19559
144	3313	19535
145	3335	19507
146	3353	19457
147	3375	19434
148	3391	19370
149	3413	19342
150	3432	19297
151	3451	19257
152	3470	19214
153	3490	19173
154	3509	19129
155	3535	19130
156	3556	19095
157	3577	19067
158	3596	19020
159	3619	18999
160	3640	18972
161	3662	18946
162	3679	18895
163	3701	18870
164	3724	18846
165	3741	18797
166	3762	18767
167	3781	18728
168	3802	18695
169	3819	18648
170	3840	18616
171	3857	18570
172	3881	18554
173	3897	18500
174	3912	18444
175	3933	18417
176	3951	18375
177	3974	18354
178	3998	18338
179	4019	18312
180	4037	18270
181	4055	18228
182	4076	18198
183	4095	18161
184	4112	18119
185	4134	18095
186	4157	18075
187	4177	18043
188	4197	18011
189	4219	17987
190	4242	17969
191	4266	17952
192	4287	17928
193	4304	17881
194	4319	17832
195	4338	17795
196	4357	17760
197	4379	17740
198	4395	17693
199	4413	17652
200	4429	17606
201	4444	17556
202	4468	17545
203	4487	17509
204	4507	17480
205	4528	17454
206	4552	17439
207	4571	17405
208	4587	17362
209	4612	17352
210	4629	17310
211	4647	17274
212	4667	17246
213	4689	17225
214	4712	17204
215	4730	17170
216	4754	17156
217	4771	17116
218	4792	17090
219	4812	17061
220	4829	17024
221	4849	16996
222	4872	16978
223	4893	16953
224	4915	16931
225	4937	16911
226	4956	16879
227	4975	16848
228	4999	16830
229	5017	16796
230	5040	16779
231	5059	16749
232	5080	16725
233	5100	16698
234	5121	16671
235	5140	16639
236	5159	16611
237	5178	16580
238	5198	16553
239	5224	16544
240	5244	16516
241	5264	16490
242	5281	16453
243	5306	16442
244	5329	16423
245	5347	16391
246	5369	16368
247	5388	16339
248	5415	16332
249	5435	16307
250	5457	16286
251	5475	16252
252	5493	16220
253	5510	16183
254	5527	16149
255	5549	16129
256	5573	16112
257	5592	16084
258	5620	16079
259	5640	16052
260	5660	16027
261	5686	16016
262	5707	15994
263	5735	15988
264	5757	15968
265	5780	15951
266	5799	15922
267	5817	15890
268	5836	15861
269	5857	15836
270	5879	15815
271	5896	15783
272	5917	15757
273	5934	15724
274	5958	15707
275	5975	15674
276	5996	15652
277	6015	15622
278	6034	15595
279	6051	15561
280	6070	15533
281	6092	15512
282	6111	15484
283	6133	15464
284	6151	15433
285	6171	15406
286	6194	15387
287	6215	15365
288	6231	15329
289	6247	15296
290	6265	15264
291	6285	15239
292	6302	15206
293	6319	15175
294	6342	15157
295	6360	15128
296	6376	15092
297	6395	15066
298	6419	15050
299	6438	15023
300	6458	14998
301	6477	14972
302	6496	14944
303	6521	14930
